,연도,월,요일,노선명,전염병,승하차총승객수
1665,2015,11,4,4,0,5546729.0
1666,2015,11,4,5,0,5484312.0
1667,2015,11,4,6,0,3184279.0
1668,2015,11,4,7,0,6629967.0
1669,2015,11,4,8,0,1506764.0
1670,2015,11,4,9,0,2305825.0
1685,2015,11,5,1,0,2508160.0
1686,2015,11,5,2,0,14099250.0
1687,2015,11,5,3,0,5034442.0
1688,2015,11,5,4,0,5599093.0
1689,2015,11,5,5,0,5496465.0
1690,2015,11,5,6,0,3202607.0
1691,2015,11,5,7,0,6629915.0
1692,2015,11,5,8,0,1516375.0
1693,2015,11,5,9,0,2276758.0
1708,2015,11,6,1,0,2528260.0
1709,2015,11,6,2,0,13987060.0
1710,2015,11,6,3,0,5020523.0
1711,2015,11,6,4,0,5565323.0
1712,2015,11,6,5,0,5448748.0
1713,2015,11,6,6,0,3186399.0
1714,2015,11,6,7,0,6635811.0
1715,2015,11,6,8,0,1501895.0
1716,2015,11,6,9,0,2270384.0
1731,2015,11,7,1,0,3053866.0
1732,2015,11,7,2,0,16941156.0
1733,2015,11,7,3,0,6096821.0
1734,2015,11,7,4,0,6689139.0
1735,2015,11,7,5,0,6639913.0
1736,2015,11,7,6,0,3860191.0
1737,2015,11,7,7,0,8135998.0
1738,2015,11,7,8,0,1831741.0
1739,2015,11,7,9,0,2778669.0
1754,2015,12,1,1,0,1585869.0
1755,2015,12,1,2,0,7894389.0
1756,2015,12,1,3,0,2856847.0
1757,2015,12,1,4,0,3301289.0
1758,2015,12,1,5,0,2826362.0
1759,2015,12,1,6,0,1783304.0
1760,2015,12,1,7,0,3601284.0
1761,2015,12,1,8,0,849226.0
1762,2015,12,1,9,0,1221342.0
1777,2015,12,2,1,0,2390249.0
1778,2015,12,2,2,0,11403736.0
1779,2015,12,2,3,0,4268407.0
1780,2015,12,2,4,0,4795501.0
1781,2015,12,2,5,0,4050083.0
1782,2015,12,2,6,0,2518543.0
1783,2015,12,2,7,0,5012967.0
1784,2015,12,2,8,0,1177155.0
1785,2015,12,2,9,0,1731069.0
